url,title,authors,summary,cited_by,pdf_url,pdf_path
http://www.sciencemag.org/content/283/5410/2050.short,Unconditional security of quantum key distribution over arbitrarily long distances,"HK Lo, HF Chau - science, 1999 - sciencemag.org","Abstract Quantum key distribution is widely thought to offer unconditional security in communication between two users. Unfortunately, a widely accepted proof of its security in the presence of source, device, and channel noises has been missing. This long-standing  ...",1049,http://arxiv.org/pdf/quant-ph/9803006,pdfs\50.pdf
http://arxiv.org/abs/quant-ph/9710025,Experimental issues in coherent quantum-state manipulation of trapped atomic ions,"DJ Wineland, C Monroe, WM Itano, D Leibfried… - arXiv preprint quant-ph/ …, 1997 - arxiv.org","Abstract: Methods for, and limitations to, the generation of entangled states of trapped atomic ions are examined. As much as possible, state manipulations are described in terms of quantum logic operations since the conditional dynamics implicit in quantum logic is  ...",1042,http://arxiv.org/pdf/quant-ph/9710025,pdfs\51.pdf
http://www.nature.com/nature/journal/v413/n6854/abs/413400a0.html,Experimental long-lived entanglement of two macroscopic objects,"B Julsgaard, A Kozhekin, ES Polzik - Nature, 2001 - nature.com","Abstract Entanglement is considered to be one of the most profound features of quantum mechanics 1, 2. An entangled state of a system consisting of two subsystems cannot be described as a product of the quantum states of the two subsystems 3, 4, 5, 6. In this sense ...",1039,http://www.nature.com/nature/journal/v413/n6854/full/413400a0.html,pdfs\52.pdf
http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.40.411,Phase and angle variables in quantum mechanics,"P Carruthers, MM Nieto - Reviews of Modern Physics, 1968 - APS","Abstract The quantum-mechanical description of phase and angle variables is reviewed, with emphasis on the proper mathematical description of these coordinates. The relations among the operators and state vectors under consideration are clarified in the context of  ...",1032,http://astro.swarthmore.edu/comps/phase.pdf,pdfs\53.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.65.1838,Extreme quantum entanglement in a superposition of macroscopically distinct states,"ND Mermin - Physical Review Letters, 1990 - APS","Greenberger, Horne, and Zeilinger' (GHZ) have re- cently described a state ~4) of four spin- 
—, ' particles with the following remarkable property: A group of spin-correlation experiments 
performed on four widely separated particles in the GHZ state reveals certain strong spin  ... ",1025,,
https://books.google.com/books?hl=en&lr=&id=aA4vXMbuOTUC&oi=fnd&pg=PA418&ots=IcvIS7C4rI&sig=jmj5Xu5c2XxsIxyv-vUiVlt6xoE,[BOOK][B] Geometry of quantum states: an introduction to quantum entanglement,"I Bengtsson, K Zyczkowski - 2006 - books.google.com","Quantum information theory is at the frontiers of physics, mathematics and information science, offering a variety of solutions that are impossible using classical theory. This book provides an introduction to the key concepts used in processing quantum information and  ...",1012,http://chaos.if.uj.edu.pl/~karol/gqs2.pdf,pdfs\55.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.82.1345,Observation of three-photon Greenberger-Horne-Zeilinger entanglement,"D Bouwmeester, JW Pan, M Daniell, H Weinfurter… - Physical Review Letters, 1999 - APS","Abstract We present the experimental observation of polarization entanglement for three spatially separated photons. Such states of more than two entangled particles, known as Greenberger-Horne-Zeilinger (GHZ) states, play a crucial role in fundamental tests of  ...",997,http://arxiv.org/pdf/quant-ph/9810035,pdfs\56.pdf
http://link.springer.com/content/pdf/10.1007/978-94-017-6065-2_1.pdf,[BOOK][B] On the principles of elementary quantum mechanics,HJ Groenewold - 1946 - Springer,Summary Our problems are about α the correspondence a←→ a between physical quantities a and quantum operators a (quantization) and β the possibility of understanding the statistical character of quantum mechanics by averaging over uniquely determined  ...,998,,
http://link.springer.com/article/10.1007/BF01015734,Consistent histories and the interpretation of quantum mechanics,"RB Griffiths - Journal of Statistical Physics, 1984 - Springer","Abstract The usual formula for transition probabilities in nonrelativistic quantum mechanics is generalized to yield conditional probabilities for selected sequences of events at several different times, called “consistent histories,” through a criterion which ensures that, within  ...",991,,
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.5239,Mixed-state entanglement and distillation: is there a “bound” entanglement in nature?,"M Horodecki, P Horodecki, R Horodecki - Physical Review Letters, 1998 - APS","Abstract It is shown that if a mixed state can be distilled to the singlet form it must violate partial transposition criterion [A. Peres, Phys. Rev. Lett. 76, 1413 (1996)]. It implies that there are two qualitatively different types of entanglement:“free” entanglement which is  ...",988,http://arxiv.org/pdf/quant-ph/9801069,pdfs\59.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.68.3663,Realization of the Einstein-Podolsky-Rosen paradox for continuous variables,"ZY Ou, SF Pereira, HJ Kimble, KC Peng - Physical Review Letters, 1992 - APS","Abstract The Einstein-Podolsky-Rosen paradox is demonstrated experimentally for dynamical variables having a continuous spectrum. As opposed to previous work with discrete spin or polarization variables, the continuous optical amplitudes of a signal beam  ...",976,http://authors.library.caltech.edu/6493/1/OUZprl92.pdf,pdfs\60.pdf
http://journals.aps.org/pra/abstract/10.1103/PhysRevA.60.R773,Ultrabright source of polarization-entangled photons,"PG Kwiat, E Waks, AG White, I Appelbaum… - Physical Review A, 1999 - APS","Abstract Using the process of spontaneous parametric down-conversion in a two-crystal geometry, we have generated a source of polarization-entangled photon pairs that is more than ten times brighter, per unit of pump power, than previous sources, with another factor  ...",960,http://arxiv.org/pdf/quant-ph/9810003,pdfs\61.pdf
http://www.nature.com/nature/journal/v409/n6822/abs/409791a0.html,Experimental violation of a Bell's inequality with efficient detection,"MA Rowe, D Kielpinski, V Meyer, CA Sackett, WM Itano… - Nature, 2001 - nature.com","Abstract Local realism is the idea that objects have definite properties whether or not they are measured, and that measurements of these properties are not affected by events taking place sufficiently far away 1. Einstein, Podolsky and Rosen 2 used these reasonable  ...",952,http://www.nature.com/nature/journal/v409/n6822/full/409791a0.html,pdfs\62.pdf
http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.75.457,Colloquium: Trapping and manipulating photon states in atomic ensembles,"MD Lukin - Reviews of Modern Physics, 2003 - APS",Abstract Modern optical techniques allow one to accurately control light using atoms and to manipulate atoms using light. In this Colloquium the author reviews several ideas indicating how such techniques can be used for accurate manipulation of quantum states of atomic  ...,934,https://galileo.seas.harvard.edu/images/material/334/100/p457_1.pdf,pdfs\63.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.79.1,Generation of Einstein-Podolsky-Rosen pairs of atoms,"E Hagley, X Maitre, G Nogues, C Wunderlich… - Physical Review Letters, 1997 - APS","Abstract Pairs of atoms have been prepared in an entangled state of the Einstein-Podolsky-Rosen (EPR) type. They were produced by the exchange of a single photon between the atoms in a high Q cavity. The atoms, entangled in a superposition involving two different  ...",911,http://www.physik.uni-siegen.de/quantenoptik/forschung/publikationen/publis/epr_prl.pdf,pdfs\64.pdf
http://www.sciencedirect.com/science/article/pii/0022000088900050,[HTML][HTML] Minimum disclosure proofs of knowledge,"G Brassard, D Chaum, C Crépeau - Journal of Computer and System  …, 1988 - Elsevier","Abstract Protocols are given for allowing a “prover” to convince a “verifier” that the prover knows some verifiable secret information, without allowing the verifier to learn anything about the secret. The secret can be probabilistically or deterministically verifiable, and  ...",889,http://www.sciencedirect.com/science/article/pii/0022000088900050,pdfs\65.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.81.3563,Violation of Bell inequalities by photons more than 10 km apart,"W Tittel, J Brendel, H Zbinden, N Gisin - Physical Review Letters, 1998 - APS","Abstract A Franson-type test of Bell inequalities by photons 10.9 km apart is presented. Energy-time entangled photon pairs are measured using two-channel analyzers, leading to a violation of the inequalities by 16 standard deviations without subtracting accidental  ...",874,http://arxiv.org/pdf/quant-ph/9806043,pdfs\66.pdf
